Workloads	Group	PMFS	Quill
Seq-write	1	5656	6845.154
Seq-50/50	1	6357.861	7018.046
Seq-read	1	7484.412	7753.986
Random-write	1	5587.388	6727.313
Random-50/50	1	6256.925	6355.972
Random-read	1	7270.144	6614.284
Seq-write	4	7192.223	19396.272
Seq-50/50	4	13827.03	17996.380
Seq-read	4	17969.74	17946.491
Random-write	4	7206.097	19680.016
Random-50/50	4	13684.44	17352.352
Random-read	4	19205.66	16121.096
Seq-write	16	7412.331	31611.418
Seq-50/50	16	14749.99	29736.418
Seq-read	16	30040.15	27634.418
Random-write	16	7553.063	31443.869
Random-50/50	16	13896.65	27442.441
Random-read	16	28399.22	26053.139
